team,week,R,HR,RBI,SB,AVG,K,QS,SV,ERA,WHIP
VAL,18,54.0,18.0,43.0,2.0,0.28104575,66.0,3.0,6.0,4.17679558,1.24309392
VAL,19,44.0,14.0,67.0,2.0,0.24350649,70.0,4.0,6.0,2.47826087,1.01449275
VAL,20,40.0,19.0,49.0,6.0,0.23734177,66.0,4.0,5.0,3.515625,1.125
RYAN,1,74.0,21.0,67.0,8.0,0.25223214,106.0,6.0,1.0,2.40213523,1.0569395
RYAN,3,33.0,11.0,36.0,4.0,0.24908425,69.0,7.0,6.0,1.71219512,1.03902439
RYAN,4,46.0,14.0,50.0,8.0,0.27407407,67.0,3.0,4.0,4.47738693,1.20603015
RYAN,5,39.0,9.0,35.0,8.0,0.24513619,63.0,4.0,1.0,3.16759777,1.12290503
RYAN,6,30.0,11.0,37.0,6.0,0.23012552,75.0,2.0,5.0,4.15384615,1.35164835
RYAN,7,28.0,8.0,25.0,3.0,0.2629108,48.0,3.0,4.0,3.31132075,0.93396226
RYAN,8,24.0,2.0,22.0,3.0,0.21834061,54.0,1.0,4.0,1.21153846,0.80769231
RYAN,9,46.0,11.0,46.0,3.0,0.33204633,63.0,4.0,4.0,3.11538462,1.09615385
RYAN,10,41.0,11.0,43.0,7.0,0.31102362,42.0,2.0,4.0,3.6,0.9
RYAN,11,54.0,15.0,62.0,8.0,0.32706767,59.0,4.0,5.0,2.7150838,0.95530726
RYAN,12,21.0,8.0,24.0,5.0,0.20720721,60.0,4.0,2.0,3.06,1.12
RYAN,14,45.0,8.0,36.0,17.0,0.25524476,63.0,5.0,3.0,4.6433121,1.28025478
RYAN,15,33.0,12.0,34.0,9.0,0.21904762,25.0,2.0,2.0,3.56043956,1.28571429
RYAN,16,27.0,6.0,26.0,8.0,0.2712766,33.0,1.0,3.0,2.55789474,1.16842105
RYAN,17,31.0,11.0,38.0,9.0,0.29302326,34.0,2.0,2.0,3.41772152,1.13924051
RYAN,18,32.0,11.0,40.0,6.0,0.26865672,25.0,1.0,1.0,3.32307692,0.92307692
RYAN,19,26.0,11.0,34.0,8.0,0.27135678,26.0,0.0,4.0,5.47297297,1.41891892
RYAN,20,28.0,11.0,26.0,7.0,0.27777778,45.0,3.0,1.0,3.04225352,1.09859155
FU,1,50.0,16.0,52.0,2.0,0.22790698,110.0,7.0,8.0,3.20979021,1.05944056
FU,2,33.0,8.0,39.0,8.0,0.2218543,42.0,3.0,3.0,5.87755102,1.48979592
FU,4,41.0,11.0,43.0,3.0,0.28417266,39.0,2.0,5.0,5.48120301,1.28571429
FU,5,44.0,12.0,37.0,3.0,0.23,65.0,4.0,6.0,1.66853933,0.99438202
FU,6,42.0,13.0,46.0,2.0,0.2804428,62.0,4.0,5.0,3.87623762,1.02475248
FU,7,48.0,15.0,47.0,2.0,0.24909747,60.0,5.0,4.0,3.105,1.02
FU,8,34.0,9.0,38.0,5.0,0.25862069,54.0,5.0,4.0,1.89,1.05
FU,9,37.0,7.0,36.0,0.0,0.23420074,57.0,2.0,4.0,4.26315789,1.22368421
FU,10,43.0,15.0,44.0,2.0,0.26037736,69.0,5.0,0.0,3.47142857,1.04285714
FU,11,42.0,11.0,37.0,4.0,0.2254902,58.0,2.0,4.0,5.37016575,1.29281768
FU,12,34.0,11.0,44.0,6.0,0.24096386,65.0,6.0,4.0,2.11764706,1.16176471
FU,13,52.0,13.0,43.0,5.0,0.26315789,83.0,6.0,4.0,2.95890411,0.97260274
FU,15,40.0,10.0,26.0,6.0,0.24324324,65.0,5.0,5.0,3.59042553,1.06914894
FU,16,47.0,13.0,33.0,4.0,0.28214286,57.0,4.0,4.0,4.28823529,1.39411765
FU,17,38.0,13.0,43.0,7.0,0.2543554,74.0,5.0,2.0,4.30434783,1.30434783
FU,18,48.0,13.0,38.0,3.0,0.275,27.0,2.0,1.0,1.33333333,0.88888889
FU,19,31.0,10.0,50.0,7.0,0.25471698,42.0,3.0,0.0,4.05,1.02857143
FU,20,40.0,14.0,37.0,3.0,0.26337449,46.0,4.0,0.0,2.35714286,1.07142857
MaB,1,70.0,19.0,53.0,2.0,0.24623116,54.0,2.0,1.0,4.5,1.27777778
MaB,2,38.0,7.0,26.0,5.0,0.2145749,54.0,1.0,2.0,3.13043478,1.10869565
MaB,3,44.0,13.0,36.0,7.0,0.26415094,77.0,6.0,2.0,2.27227723,0.90594059
MaB,4,49.0,16.0,49.0,3.0,0.26018809,72.0,3.0,3.0,2.98159509,0.99386503
MaB,6,35.0,5.0,28.0,5.0,0.25287356,39.0,3.0,2.0,4.13709677,1.16129032
MaB,7,54.0,15.0,47.0,7.0,0.30357143,69.0,6.0,3.0,2.17741935,1.0
MaB,8,34.0,8.0,33.0,5.0,0.22568093,67.0,1.0,7.0,3.88125,1.40625
MaB,9,51.0,12.0,43.0,3.0,0.21818182,78.0,1.0,4.0,4.31360947,1.18934911
MaB,10,37.0,9.0,33.0,3.0,0.25352113,62.0,8.0,3.0,3.04411765,1.02941176
MaB,11,45.0,10.0,51.0,2.0,0.24675325,62.0,3.0,3.0,3.92727273,1.16363636
MaB,12,38.0,10.0,35.0,7.0,0.2345679,64.0,3.0,3.0,4.68,1.16
